Equipo,Age,CrdY,CrdR,Temporada,Posesion%,AciertoPase%,Goles,Aereos,Tiros_pp,Tiros_AP_pp,Regates_pp,Faltas_a_favor_pp,Juego_abierto,Contraataque,Balon_Parado
Newcastle,26.5,66,3.0,19_20,37.8,75.3,38.0,19.8,10.5,3.5,10.5,11.1,23.0,1.0,14.0
Norwich,26.0,68,3.0,19_20,49.1,80.5,26.0,14.1,10.8,3.4,11.2,11.3,20.0,0.0,3.0
Sheffield,26.9,63,2.0,19_20,42.1,74.4,39.0,25.3,9.3,3.0,9.1,8.1,26.0,3.0,6.0
Southampton,25.9,55,4.0,19_20,48.6,73.4,51.0,21.7,13.1,4.8,11.1,10.2,36.0,2.0,11.0
Tottenham,26.7,84,3.0,19_20,51.9,81.4,61.0,17.1,11.7,4.2,11.8,11.2,37.0,8.0,8.0
Watford,28.9,80,3.0,19_20,41.9,73.5,36.0,21.9,11.2,3.2,8.4,9.0,21.0,3.0,4.0
West Ham,27.4,64,1.0,19_20,43.5,76.1,49.0,22.9,11.0,4.3,10.4,9.1,28.0,3.0,14.0
Wolves,26.6,61,2.0,19_20,48.0,79.2,51.0,20.7,12.1,3.9,13.4,9.5,29.0,5.0,11.0
Arsenal,25.9,49,5.0,20_21,53.4,85.0,55.0,13.5,12.1,4.0,7.8,10.5,40.0,1.0,6.0
Aston Villa,25.2,71,4.0,20_21,47.8,78.6,55.0,19.4,13.7,4.9,9.7,14.6,32.0,4.0,11.0
Brighton,25.8,49,6.0,20_21,50.8,81.3,40.0,14.2,12.8,3.8,9.2,9.4,26.0,0.0,7.0
Burnley,28.3,48,0.0,20_21,41.5,71.6,33.0,23.4,10.1,3.4,6.2,10.2,20.0,1.0,8.0
Chelsea,26.0,51,3.0,20_21,61.2,87.0,58.0,15.2,14.6,5.5,9.4,9.6,34.0,2.0,12.0
Crystal Palace,29.1,56,2.0,20_21,39.9,76.1,41.0,18.3,9.2,3.5,9.6,11.5,26.0,3.0,7.0
Everton,26.3,59,2.0,20_21,46.5,81.4,47.0,17.7,10.5,3.9,9.5,10.3,27.0,0.0,14.0
Fulham,25.2,67,3.0,20_21,49.5,81.2,27.0,17.2,11.6,3.6,13.3,9.8,18.0,1.0,4.0
Leeds,26.1,61,1.0,20_21,57.8,80.8,62.0,14.5,13.7,5.2,8.4,10.8,38.0,7.0,11.0
Leicester,26.5,61,0.0,20_21,54.4,82.1,68.0,16.2,12.8,4.9,9.4,11.1,44.0,4.0,6.0
Liverpool,26.8,40,0.0,20_21,62.3,85.7,68.0,14.3,16.0,5.6,10.7,8.3,42.0,5.0,12.0
Manchester City,26.1,46,2.0,20_21,63.7,89.3,80.0,12.6,15.4,5.5,12.5,9.7,58.0,3.0,13.0
Manchester Utd,25.6,64,1.0,20_21,55.6,84.8,73.0,14.5,13.8,5.6,10.9,10.5,47.0,6.0,7.0
Newcastle,27.1,65,3.0,20_21,38.0,76.0,46.0,17.1,10.4,3.7,9.2,11.1,25.0,3.0,10.0
Sheffield,26.7,73,3.0,20_21,41.0,76.9,20.0,19.1,8.5,2.6,7.1,7.7,12.0,0.0,4.0
Southampton,26.6,52,3.0,20_21,51.7,79.3,47.0,14.1,11.2,4.4,9.0,11.1,27.0,0.0,15.0
Tottenham,27.2,57,2.0,20_21,51.4,81.8,68.0,16.4,11.7,4.6,10.6,12.3,49.0,5.0,7.0
West Bromwich Albion,26.4,51,4.0,20_21,,,,,,,,,,,
West Ham,27.8,50,3.0,20_21,42.5,77.8,62.0,19.9,12.3,4.3,7.8,9.3,36.0,6.0,16.0
Wolves,26.3,55,1.0,20_21,49.2,83.1,35.0,15.2,12.0,4.0,12.2,9.9,18.0,2.0,9.0
Arsenal,24.4,67,4.0,21_22,52.6,83.4,61.0,12.4,15.5,5.2,8.4,9.4,33.0,6.0,16.0
Aston Villa,26.1,81,2.0,21_22,46.3,79.7,52.0,14.3,12.2,4.3,8.8,13.3,31.0,4.0,12.0
Brentford,25.4,65,3.0,21_22,44.3,73.7,48.0,19.0,11.6,4.1,6.9,9.6,24.0,1.0,15.0
Brighton,26.2,72,2.0,21_22,54.3,81.7,42.0,15.1,12.9,4.0,8.3,9.3,26.0,2.0,8.0
Burnley,28.5,68,2.0,21_22,39.1,69.2,34.0,21.9,10.7,3.3,6.8,8.7,19.0,1.0,11.0
Chelsea,27.4,63,1.0,21_22,62.2,87.1,76.0,14.3,15.6,5.6,9.6,10.3,56.0,0.0,11.0
Crystal Palace,27.1,69,1.0,21_22,50.8,80.3,50.0,16.1,10.8,3.9,10.1,12.7,34.0,2.0,8.0
Everton,26.7,82,6.0,21_22,39.1,73.3,43.0,16.8,11.5,3.6,8.9,10.2,23.0,3.0,10.0
Leeds,26.1,101,3.0,21_22,51.9,78.0,42.0,12.6,12.8,4.1,8.9,9.7,27.0,0.0,10.0
Leicester,26.5,55,1.0,21_22,51.8,81.8,62.0,14.0,11.4,4.4,7.8,10.4,48.0,4.0,8.0
Liverpool,27.7,50,1.0,21_22,63.1,84.9,94.0,15.1,19.2,6.7,9.0,7.5,64.0,4.0,19.0
Manchester City,27.0,42,1.0,21_22,68.2,89.7,99.0,12.7,18.8,6.7,11.2,8.7,66.0,2.0,21.0
Manchester Utd,27.2,77,2.0,21_22,52.1,82.8,57.0,14.7,13.4,4.9,9.7,8.4,42.0,4.0,7.0
Newcastle,27.5,81,2.0,21_22,39.4,74.5,43.0,17.5,11.7,3.9,9.4,9.6,23.0,3.0,12.0
Norwich,26.2,57,1.0,21_22,42.3,77.5,23.0,13.0,9.8,2.9,7.8,11.3,14.0,1.0,3.0
Southampton,25.7,65,2.0,21_22,47.4,76.6,43.0,17.8,12.7,4.5,9.2,9.6,21.0,2.0,14.0
Tottenham,26.5,69,1.0,21_22,51.6,84.9,69.0,14.7,12.8,5.2,9.7,10.5,46.0,4.0,8.0
Watford,28.4,63,3.0,21_22,39.7,72.9,34.0,18.9,10.5,3.3,10.4,9.3,24.0,2.0,6.0
West Ham,28.2,52,3.0,21_22,47.4,80.6,60.0,16.9,11.8,4.1,8.1,7.3,34.0,6.0,14.0
Wolves,27.3,62,2.0,21_22,49.3,81.3,38.0,12.2,10.6,3.6,11.8,8.8,21.0,3.0,10.0
Arsenal,24.7,51,0.0,22_23,59.7,85.4,88.0,12.9,15.6,5.4,9.4,11.4,62.0,4.0,15.0
Aston Villa,27.0,80,1.0,22_23,49.2,81.1,51.0,11.7,11.3,4.0,7.8,13.1,31.0,5.0,10.0
Bournemouth,26.3,68,0.0,22_23,40.0,77.5,37.0,13.8,9.4,3.5,8.7,9.6,27.0,1.0,9.0
Brentford,26.2,57,1.0,22_23,43.3,74.8,58.0,17.6,10.7,4.3,7.0,10.5,27.0,6.0,16.0
Brighton,26.3,58,0.0,22_23,60.5,85.9,72.0,11.7,16.1,6.1,9.1,10.7,53.0,3.0,6.0
Chelsea,26.3,81,3.0,22_23,58.8,85.8,38.0,13.1,12.7,4.2,10.0,12.2,25.0,1.0,8.0
Crystal Palace,26.7,82,3.0,22_23,45.8,79.3,40.0,13.1,11.2,3.6,9.7,12.6,21.0,5.0,11.0
Everton,26.6,81,2.0,22_23,42.5,77.0,34.0,15.3,11.3,4.0,8.1,10.1,18.0,4.0,7.0
Fulham,28.2,80,1.0,22_23,48.6,80.0,55.0,13.5,11.3,3.9,7.4,10.7,30.0,3.0,14.0
Leeds,25.3,89,3.0,22_23,46.3,74.9,48.0,15.5,12.2,3.8,7.1,10.7,31.0,2.0,11.0
